district,year,crop,season,area,production,yield,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
JALANDHAR,2000,Rice,Kharif,136000,488000,3.588235294,41.01583333,26.54375,7,16,0
JALANDHAR,2002,Rice,Kharif,133000,495000,3.721804511,37.0775,27.14,7,16,0
JALANDHAR,2006,Rice,Kharif,147000,514000,3.496598639,63.88833333,26.04791667,7,16,0
JALANDHAR,2005,Rice,Kharif,151000,526000,3.483443709,53.49083333,25.50916667,7,16,0
JALANDHAR,2004,Rice,Kharif,145000,538000,3.710344828,45.565,26.64166667,7,16,0
JALANDHAR,2007,Rice,Kharif,149000,554000,3.718120805,50.2,26.05,7,16,0
JALANDHAR,2010,Rice,Kharif,163000,588000,3.607361963,62.85666667,26.25416667,7,16,0
JALANDHAR,2008,Rice,Kharif,155000,588000,3.793548387,90.14333333,24.945,7,16,0
JALANDHAR,2012,Rice,Kharif,165000,625000,3.787878788,44.08916667,25.59625,7,16,0
JALANDHAR,2009,Rice,Kharif,161000,636000,3.950310559,42.17916667,26.33958333,7,16,0
JALANDHAR,2012,Sugarcane,Whole year,10000,651000,65.1,44.08916667,25.59625,7,18,2
JALANDHAR,2003,Sugarcane,Whole year,15000,690000,46,53.6325,25.81208333,7,18,2
JALANDHAR,2006,Wheat,Rabi,165000,692000,4.193939394,63.88833333,26.04791667,7,21,1
JALANDHAR,2008,Wheat,Rabi,171000,708000,4.140350877,90.14333333,24.945,7,21,1
JALANDHAR,2002,Wheat,Rabi,167000,715000,4.281437126,37.0775,27.14,7,21,1
JALANDHAR,1998,Sugarcane,Whole year,13000,730000,56.15384615,32.34416667,26.38291667,7,18,2
JALANDHAR,2004,Wheat,Rabi,171000,734000,4.292397661,45.565,26.64166667,7,21,1
JALANDHAR,2009,Wheat,Rabi,170000,735000,4.323529412,42.17916667,26.33958333,7,21,1
JALANDHAR,2007,Wheat,Rabi,167000,741000,4.437125749,50.2,26.05,7,21,1
JALANDHAR,2003,Wheat,Rabi,169000,747000,4.420118343,53.6325,25.81208333,7,21,1
JALANDHAR,1998,Wheat,Rabi,162000,748000,4.617283951,32.34416667,26.38291667,7,21,1
JALANDHAR,2005,Wheat,Rabi,170000,764000,4.494117647,53.49083333,25.50916667,7,21,1
JALANDHAR,2012,Wheat,Rabi,169000,773000,4.573964497,44.08916667,25.59625,7,21,1
JALANDHAR,2000,Wheat,Rabi,167000,773000,4.628742515,41.01583333,26.54375,7,21,1
JALANDHAR,2001,Wheat,Rabi,167000,785000,4.700598802,45.6625,26.32708333,7,21,1
JALANDHAR,2010,Wheat,Rabi,169000,793000,4.692307692,62.85666667,26.25416667,7,21,1
JALANDHAR,1999,Wheat,Rabi,163000,803000,4.926380368,32.2,27.14458333,7,21,1
JALANDHAR,1999,Sugarcane,Whole year,14000,820000,58.57142857,32.2,27.14458333,7,18,2
JALANDHAR,2000,Sugarcane,Whole year,15000,920000,61.33333333,41.01583333,26.54375,7,18,2
JALANDHAR,2001,Sugarcane,Whole year,16000,1000000,62.5,45.6625,26.32708333,7,18,2
JALANDHAR,2002,Sugarcane,Whole year,17000,1040000,61.17647059,37.0775,27.14,7,18,2
KAPURTHALA,2002,Sesamum,Kharif,200,100,0.5,31.44583333,27.45333333,8,17,0
KAPURTHALA,2004,Sesamum,Kharif,200,100,0.5,39.37333333,27.00041667,8,17,0
KAPURTHALA,2005,Sesamum,Kharif,200,100,0.5,49.77,25.68041667,8,17,0
KAPURTHALA,1999,Moong,Kharif,100,100,1,27.48583333,27.48916667,8,11,0
KAPURTHALA,2000,Moong,Kharif,100,100,1,31.97916667,26.95833333,8,11,0
KAPURTHALA,2001,Moong,Kharif,100,100,1,40.47,26.62666667,8,11,0
KAPURTHALA,2002,Moong,Kharif,100,100,1,31.44583333,27.45333333,8,11,0
KAPURTHALA,2003,Arhar (Tur),Kharif,100,100,1,45.74166667,26.11833333,8,0,0
KAPURTHALA,2003,Moong,Kharif,100,100,1,45.74166667,26.11833333,8,11,0
KAPURTHALA,2004,Arhar (Tur),Kharif,100,100,1,39.37333333,27.00041667,8,0,0
KAPURTHALA,2005,Arhar (Tur),Kharif,100,100,1,49.77,25.68041667,8,0,0
KAPURTHALA,2000,Gram,Rabi,100,100,1,31.97916667,26.95833333,8,4,1
KAPURTHALA,2000,Masoor,Rabi,100,100,1,31.97916667,26.95833333,8,10,1
KAPURTHALA,2001,Gram,Rabi,100,100,1,40.47,26.62666667,8,4,1
KAPURTHALA,2001,Masoor,Rabi,100,100,1,40.47,26.62666667,8,10,1
KAPURTHALA,2001,Rapeseed &Mustard,Rabi,100,100,1,40.47,26.62666667,8,15,1
KAPURTHALA,2002,Gram,Rabi,100,100,1,31.44583333,27.45333333,8,4,1
KAPURTHALA,2002,Masoor,Rabi,100,100,1,31.44583333,27.45333333,8,10,1
KAPURTHALA,2006,Peas & Beans (Pulses),Rabi,100,100,1,60.74583333,26.1925,8,14,1
KAPURTHALA,2010,Peas & Beans (Pulses),Rabi,100,100,1,52.47,26.5225,8,14,1
KAPURTHALA,1998,Moong,Whole year,200,100,0.5,25.0475,26.83791667,8,11,2
KAPURTHALA,1998,Sesamum,Kharif,600,200,0.333333333,25.0475,26.83791667,8,17,0
KAPURTHALA,2000,Sesamum,Kharif,400,200,0.5,31.97916667,26.95833333,8,17,0
KAPURTHALA,2001,Sesamum,Kharif,400,200,0.5,40.47,26.62666667,8,17,0
KAPURTHALA,1998,Peas & Beans (Pulses),Rabi,200,200,1,25.0475,26.83791667,8,14,1
KAPURTHALA,2000,Other Rabi Pulses,Rabi,200,200,1,31.97916667,26.95833333,8,13,1
KAPURTHALA,1999,Rapeseed &Mustard,Rabi,1000,1000,1,27.48583333,27.48916667,8,15,1
KAPURTHALA,2002,Rapeseed &Mustard,Rabi,1000,1000,1,31.44583333,27.45333333,8,15,1
KAPURTHALA,2003,Rapeseed &Mustard,Rabi,1000,1000,1,45.74166667,26.11833333,8,15,1
KAPURTHALA,2004,Rapeseed &Mustard,Rabi,1000,1000,1,39.37333333,27.00041667,8,15,1
KAPURTHALA,2006,Rapeseed &Mustard,Rabi,1000,1000,1,60.74583333,26.1925,8,15,1
KAPURTHALA,2007,Rapeseed &Mustard,Rabi,1000,1000,1,45.78,26.28833333,8,15,1
KAPURTHALA,2008,Rapeseed &Mustard,Rabi,1000,1000,1,77.36166667,25.28041667,8,15,1
KAPURTHALA,2009,Rapeseed &Mustard,Rabi,1000,1000,1,35.8925,26.62,8,15,1
KAPURTHALA,2010,Rapeseed &Mustard,Rabi,1000,1000,1,52.47,26.5225,8,15,1
KAPURTHALA,2012,Rapeseed &Mustard,Rabi,1000,1000,1,39.58916667,25.7525,8,15,1
KAPURTHALA,2009,Sugarcane,Whole year,300,1800,6,35.8925,26.62,8,18,2
KAPURTHALA,1998,Rapeseed &Mustard,Rabi,1000,2000,2,25.0475,26.83791667,8,15,1
KAPURTHALA,2005,Rapeseed &Mustard,Rabi,1000,2000,2,49.77,25.68041667,8,15,1
KAPURTHALA,2012,Sunflower,Rabi,1300,2200,1.692307692,39.58916667,25.7525,8,19,1
KAPURTHALA,2003,Sunflower,Rabi,2000,3000,1.5,45.74166667,26.11833333,8,19,1
KAPURTHALA,2002,Maize,Kharif,3000,8000,2.666666667,31.44583333,27.45333333,8,9,0
KAPURTHALA,2005,Maize,Kharif,3000,9000,3,49.77,25.68041667,8,9,0
KAPURTHALA,2012,Maize,Kharif,2000,9000,4.5,39.58916667,25.7525,8,9,0
KAPURTHALA,1998,Maize,Kharif,4000,11000,2.75,25.0475,26.83791667,8,9,0
KAPURTHALA,2003,Maize,Kharif,3000,11000,3.666666667,45.74166667,26.11833333,8,9,0
KAPURTHALA,2006,Maize,Kharif,3000,11000,3.666666667,60.74583333,26.1925,8,9,0
KAPURTHALA,2008,Maize,Kharif,3000,11000,3.666666667,77.36166667,25.28041667,8,9,0
KAPURTHALA,2010,Maize,Kharif,2000,11000,5.5,52.47,26.5225,8,9,0
KAPURTHALA,2000,Maize,Kharif,4000,12000,3,31.97916667,26.95833333,8,9,0
KAPURTHALA,2004,Maize,Kharif,4000,12000,3,39.37333333,27.00041667,8,9,0
KAPURTHALA,1999,Maize,Kharif,4000,13000,3.25,27.48583333,27.48916667,8,9,0
KAPURTHALA,2007,Maize,Kharif,3000,13000,4.333333333,45.78,26.28833333,8,9,0
KAPURTHALA,2001,Maize,Kharif,4000,14000,3.5,40.47,26.62666667,8,9,0
KAPURTHALA,2009,Maize,Kharif,3000,14000,4.666666667,35.8925,26.62,8,9,0
KAPURTHALA,2005,Sugarcane,Whole year,4000,22000,5.5,49.77,25.68041667,8,18,2
