,year,area,production,AvgRain,AvgTemp,district_encoded,crop_encoded,season_encoded
266,1999,99000,392000,16.4825,28.14166667,1,16,0
267,2003,128000,411000,37.2525,26.53791667,1,3,0
268,2004,102000,415000,27.58,27.69083333,1,16,0
269,2003,105000,419000,37.2525,26.53791667,1,16,0
270,2008,97000,427000,49.255,26.26333333,1,16,0
271,2010,107000,437000,42.1275,27.01166667,1,16,0
272,2012,107000,458000,32.535,26.11958333,1,16,0
273,2009,104000,476000,28.33083333,27.18125,1,16,0
274,2012,151000,581000,32.535,26.11958333,1,3,0
275,2004,141000,593000,27.58,27.69083333,1,3,0
276,2010,147000,607000,42.1275,27.01166667,1,3,0
277,2005,151000,659000,34.2425,26.375,1,3,0
278,2009,150000,659000,28.33083333,27.18125,1,3,0
279,2007,165000,660000,34.32166667,27.13208333,1,3,0
280,2008,153000,714000,49.255,26.26333333,1,3,0
281,2006,161000,739000,32.12666667,27.20625,1,3,0
282,2003,242000,942000,37.2525,26.53791667,1,21,1
283,2001,243000,949000,30.40833333,27.29583333,1,21,1
284,2005,243000,954000,34.2425,26.375,1,21,1
285,1998,238000,990000,27.87583333,27.08041667,1,21,1
286,2004,241000,993000,27.58,27.69083333,1,21,1
287,2002,239000,999000,18.275,28.13958333,1,21,1
288,2009,251000,1013000,28.33083333,27.18125,1,21,1
289,2000,243000,1014000,20.26666667,27.59791667,1,21,1
290,2006,245000,1044000,32.12666667,27.20625,1,21,1
291,2007,247000,1077000,34.32166667,27.13208333,1,21,1
292,1999,242000,1117000,16.4825,28.14166667,1,21,1
293,2008,249000,1152000,49.255,26.26333333,1,21,1
294,2010,253000,1166000,42.1275,27.01166667,1,21,1
295,2012,254000,1216000,32.535,26.11958333,1,21,1
296,2000,100,10,22.84083333,27.435,2,17,0
297,2001,300,100,32.3675,27.11625,2,17,0
298,2002,200,100,22.02416667,27.93333333,2,5,0
299,2003,200,100,37.48166667,26.46666667,2,5,0
300,1999,100,100,19.7675,27.97625,2,0,0
301,2000,100,100,22.84083333,27.435,2,0,0
302,2001,100,100,32.3675,27.11625,2,0,0
303,2004,100,100,31.17583333,27.50583333,2,5,0
304,2005,100,100,40.05083333,26.1,2,0,0
305,2005,100,100,40.05083333,26.1,2,5,0
306,2005,100,100,40.05083333,26.1,2,17,0
307,2006,100,100,43.10666667,26.76416667,2,0,0
308,2010,100,100,41.98083333,26.90458333,2,0,0
309,2010,100,100,41.98083333,26.90458333,2,5,0
310,2012,100,100,33.44083333,26.00541667,2,5,0
311,1998,200,100,23.385,27.16416667,2,4,1
312,2004,100,100,31.17583333,27.50583333,2,4,1
313,2005,100,100,40.05083333,26.1,2,4,1
314,2006,100,100,43.10666667,26.76416667,2,4,1
315,2007,100,100,36.405,26.8725,2,4,1
316,2008,100,100,56.525,25.96291667,2,4,1
317,2007,200,100,36.405,26.8725,2,6,2
318,2006,100,100,43.10666667,26.76416667,2,6,2
319,2004,200,200,31.17583333,27.50583333,2,0,0
320,2000,300,200,22.84083333,27.435,2,4,1
321,1999,200,200,19.7675,27.97625,2,4,1
322,2001,200,200,32.3675,27.11625,2,4,1
323,2002,200,200,22.02416667,27.93333333,2,4,1
324,2001,100,200,32.3675,27.11625,2,15,1
325,2009,200,200,29.8275,27.00041667,2,6,2
326,2012,400,300,33.44083333,26.00541667,2,11,0
327,2003,300,300,37.48166667,26.46666667,2,0,0
328,2003,200,300,37.48166667,26.46666667,2,4,1
329,2005,400,300,40.05083333,26.1,2,6,2
330,2010,400,300,41.98083333,26.90458333,2,6,2
331,2005,700,400,40.05083333,26.1,2,11,0
332,2004,600,400,31.17583333,27.50583333,2,6,2
333,2001,1200,500,32.3675,27.11625,2,11,0
334,2002,800,500,22.02416667,27.93333333,2,11,0
335,2010,600,500,41.98083333,26.90458333,2,11,0
336,2009,500,500,29.8275,27.00041667,2,11,0
