district_encoded,year,crop_encoded,season_encoded,area,AvgRain,AvgTemp
12,2005,3,0,117000,34.2425,26.375
9,2009,2,1,2000,38.80333333,26.57625
9,2006,15,1,1000,47.61583333,26.48833333
16,2010,21,1,287000,52.72333333,26.49541667
4,2004,4,1,1300,31.17583333,27.50583333
11,1998,16,0,118000,27.81583333,26.79958333
6,2012,19,1,1500,50.80416667,24.88833333
16,2004,18,2,2000,36.56,26.97916667
3,2010,21,1,85000,73.59166667,26.16833333
4,2008,15,1,4000,56.525,25.96291667
14,1998,4,1,200,48.2775,25.91208333
10,2010,21,1,170000,45.66666667,26.88875
3,1999,0,0,400,33.88083333,27.225
14,2002,11,0,200,34.91833333,27.35083333
1,2002,9,0,1000,18.275,28.13958333
10,2008,3,0,90000,50.12666667,26.17208333
7,2002,21,1,167000,37.0775,27.14
0,2009,18,2,300,36.28416667,26.58416667
12,2010,11,0,400,42.1275,27.01166667
15,2002,20,0,400,58.14833333,22.6375
7,1998,9,0,13000,32.34416667,26.38291667
14,2009,3,0,1000,44.6925,26.52083333
1,2002,15,1,13000,18.275,28.13958333
15,2000,8,1,100,69.12916667,21.98083333
1,2001,11,0,1600,30.40833333,27.29583333
5,1999,4,1,100,30.54916667,25.92708333
8,2006,16,0,110000,60.74583333,26.1925
0,2010,11,0,100,58.83083333,26.36833333
13,2001,8,1,100,45.6625,26.32708333
14,2005,15,1,2000,48.6925,25.84166667
14,2004,10,1,900,46.67416667,26.60041667
10,2004,4,1,400,28.6625,27.53291667
8,1998,14,1,200,25.0475,26.83791667
13,2007,9,0,17000,50.2,26.05
14,2006,15,1,1000,39.2,26.755
8,2012,9,0,2000,39.58916667,25.7525
3,2012,15,1,1000,45.86166667,25.75541667
14,2006,21,1,244000,39.2,26.755
3,2004,18,2,2000,52.715,26.535
15,2007,0,0,200,74.92583333,21.78458333
16,2009,16,0,271000,35.63916667,26.74916667
7,2001,17,0,1700,45.6625,26.32708333
16,2006,9,0,1000,35.8025,26.84625
11,2006,15,1,1000,45.6375,26.59416667
5,2004,18,2,20000,50.8525,25.30625
4,2009,18,2,100,29.8275,27.00041667
1,2002,2,1,3000,18.275,28.13958333
2,1998,21,1,110000,23.385,27.16416667
12,2012,4,1,100,32.535,26.11958333
1,2003,2,1,3000,37.2525,26.53791667
9,2004,18,2,3000,40.8975,26.84208333
15,2010,20,0,100,108.4291667,22.04708333
3,2002,9,0,1000,40.61083333,27.21166667
9,2006,3,0,2000,47.61583333,26.48833333
1,1998,21,1,238000,27.87583333,27.08041667
3,2000,18,2,4000,53.16583333,26.38208333
9,2002,18,2,8000,31.09166667,27.45916667
16,2009,15,1,2000,35.63916667,26.74916667
6,2002,5,0,3200,42.815,26.33125
9,2005,18,2,2000,46.84,25.80916667
4,1999,3,0,119000,19.7675,27.97625
3,2004,0,0,200,52.715,26.535
9,2012,9,0,2000,38.71666667,25.77541667
7,2010,15,1,1000,62.85666667,26.25416667
9,2003,4,1,100,49.05833333,25.96708333
11,2000,21,1,172000,28.25416667,27.125
9,2002,0,0,2000,31.09166667,27.45916667
9,2005,11,0,2000,46.84,25.80916667
11,1999,4,1,200,22.84666667,27.70583333
5,2012,10,1,100,53.06583333,24.24916667
7,2004,18,2,11000,45.565,26.64166667
16,2007,3,0,15000,38.79416667,26.70541667
6,2003,18,2,22000,63.92416667,25.03416667
7,1998,18,2,13000,32.34416667,26.38291667
13,1999,16,0,46000,32.2,27.14458333
12,2006,16,0,68000,32.12666667,27.20625
0,2008,17,0,2000,78.35166667,25.32708333
4,2010,11,0,1400,41.98083333,26.90458333
0,2004,9,0,4000,42.83916667,26.97333333
4,2007,7,0,100,36.405,26.8725
0,2010,14,1,400,58.83083333,26.36833333
8,2010,15,1,1000,52.47,26.5225
11,2002,0,0,900,25.7975,27.69791667
0,2000,3,0,2000,33.02083333,26.97333333
1,2003,16,0,105000,37.2525,26.53791667
9,2010,0,0,1100,55.99666667,26.42875
6,2002,20,0,600,42.815,26.33125
2,2005,4,1,100,40.05083333,26.1
14,2007,16,0,234000,43.44083333,26.55125
6,2007,16,0,56000,62.96083333,25.07583333
14,2009,9,0,1000,44.6925,26.52083333
2,2008,6,2,300,56.525,25.96291667
3,1999,18,2,4000,33.88083333,27.225
16,2012,6,2,100,36.13833333,25.83791667
2,2004,18,2,1000,31.17583333,27.50583333
14,2002,9,0,4000,34.91833333,27.35083333
16,2012,11,0,300,36.13833333,25.83791667
12,2012,2,1,1000,32.535,26.11958333
8,2001,4,1,100,40.47,26.62666667
12,2010,16,0,111000,42.1275,27.01166667
7,2002,9,0,13000,37.0775,27.14
5,2006,4,1,200,83.44,24.49625
15,2010,10,1,100,108.4291667,22.04708333
9,2003,18,2,5000,49.05833333,25.96708333
0,2005,15,1,2000,52.91583333,25.56041667
